x [Å]	y [Å]	z [Å]	F [nN]	
79.736	0	5.008	-2.21583e+12
79.768	0	5.008	-2.21559e+12
79.8	0	5.008	-2.21522e+12
79.832	0	5.008	-2.21461e+12
79.864	0	5.008	-2.21364e+12
79.896	0	5.008	-2.21204e+12
79.928	0	5.008	-2.20939e+12
79.96	0	5.008	-2.20497e+12
79.992	0	5.008	-2.19749e+12
80.024	0	5.008	-2.18473e+12
80.056	0	5.008	-2.16279e+12
80.088	0	5.008	-2.12483e+12
80.12	0	5.008	-2.05889e+12
80.152	0	5.008	-1.94426e+12
80.184	0	5.008	-1.74572e+12
80.216	0	5.008	-1.40486e+12
80.248	0	5.008	-8.28872e+11
80.28	0	5.008	1.20731e+11
80.312	0	5.008	1.6315e+12
80.344	0	5.008	3.91948e+12
80.376	0	5.008	7.16262e+12
80.408	0	5.008	1.13744e+13
80.44	0	5.008	1.62449e+13
80.472	0	5.008	2.10462e+13
80.504	0	5.008	2.47393e+13
80.536	0	5.008	2.63372e+13
80.568	0	5.008	2.53669e+13
80.6	0	5.008	2.21188e+13
80.632	0	5.008	1.74917e+13
80.664	0	5.008	1.25541e+13
80.696	0	5.008	8.1324e+12
80.728	0	5.008	4.63785e+12
80.76	0	5.008	2.12342e+12
80.792	0	5.008	4.38295e+11
80.824	0	5.008	-6.32564e+11
80.856	0	5.008	-1.28719e+12
80.888	0	5.008	-1.67663e+12
80.92	0	5.008	-1.90421e+12
80.952	0	5.008	-2.03581e+12
80.984	0	5.008	-2.11155e+12
81.016	0	5.008	-2.15513e+12
81.048	0	5.008	-2.18028e+12
81.08	0	5.008	-2.19488e+12
81.112	0	5.008	-2.20341e+12
81.144	0	5.008	-2.20844e+12
81.176	0	5.008	-2.21143e+12
81.208	0	5.008	-2.21322e+12
81.24	0	5.008	-2.2143e+12
81.272	0	5.008	-2.21495e+12
81.304	0	5.008	-2.21534e+12
81.336	0	5.008	-2.21557e+12
81.368	0	5.008	-2.2157e+12
81.4	0	5.008	-2.21576e+12
81.432	0	5.008	-2.21578e+12
81.464	0	5.008	-2.21577e+12
81.496	0	5.008	-2.21575e+12
81.528	0	5.008	-2.21572e+12
81.56	0	5.008	-2.21568e+12
81.592	0	5.008	-2.21564e+12
81.624	0	5.008	-2.21561e+12
81.656	0	5.008	-2.21559e+12
81.688	0	5.008	-2.21558e+12
81.72	0	5.008	-2.21557e+12
81.752	0	5.008	-2.21558e+12
81.784	0	5.008	-2.21561e+12
81.816	0	5.008	-2.21564e+12
81.848	0	5.008	-2.21568e+12
81.88	0	5.008	-2.21572e+12
81.912	0	5.008	-2.21577e+12
81.944	0	5.008	-2.21583e+12
81.976	0	5.008	-2.21588e+12
82.008	0	5.008	-2.21592e+12
82.04	0	5.008	-2.21597e+12
82.072	0	5.008	-2.21601e+12
82.104	0	5.008	-2.21604e+12
82.136	0	5.008	-2.21607e+12
82.168	0	5.008	-2.2161e+12
82.2	0	5.008	-2.21611e+12
82.232	0	5.008	-2.21613e+12
82.264	0	5.008	-2.21614e+12
82.296	0	5.008	-2.21614e+12
82.328	0	5.008	-2.21614e+12
82.36	0	5.008	-2.21614e+12
82.392	0	5.008	-2.21614e+12
82.424	0	5.008	-2.21614e+12
82.456	0	5.008	-2.21614e+12
82.488	0	5.008	-2.21613e+12
82.52	0	5.008	-2.21613e+12
82.552	0	5.008	-2.21613e+12
82.584	0	5.008	-2.21613e+12
82.616	0	5.008	-2.21613e+12
